Region,Product,Q1_Sales,Q2_Sales,Q3_Sales,Q4_Sales
India,Laptop,120000,145000,160000,180000
India,Phone,90000,110000,125000,140000
India,Tablet,50000,60000,70000,80000
USA,Laptop,200000,215000,230000,250000
USA,Phone,180000,195000,210000,225000
USA,Tablet,90000,100000,115000,125000
Europe,Laptop,150000,180000,210000,240000
Europe,Phone,120000,150000,175000,200000
Europe,Tablet,70000,85000,100000,120000
Asia,Laptop,100000,130000,155000,190000
Asia,Phone,80000,105000,135000,165000
Asia,Tablet,45000,60000,75000,95000
